time,uptime_ms,tick,action,state,x,y,detail
2025-08-19 22:09:17,106,0,INIT,FALL,48,48,spawn
2025-08-19 22:09:18,1208,0,REC_ON,FALL,48,48,
2025-08-19 22:09:18,1208,0,SPEED,FALL,48,48,3
2025-08-19 22:09:20,3264,33,ENTER_STATE,LAND,48,701,FALL->LAND
2025-08-19 22:09:21,4007,49,ENTER_STATE,IDLE,48,701,LAND->IDLE
2025-08-19 22:09:23,6118,94,ENTER_STATE,IDLE,48,688,setIdle
2025-08-19 22:09:23,6118,94,AI_DECISION,IDLE,48,688,IDLE
2025-08-19 22:09:33,15620,293,ENTER_STATE,WALK,48,688,setWalk
2025-08-19 22:09:33,15621,293,FACE,WALK,48,688,RIGHT
2025-08-19 22:09:33,15622,293,AI_DECISION,WALK,48,688,WALK dir=R
2025-08-19 22:09:44,26416,523,WALK_EDGE_GRAB,GRAB_RIGHT,1408,688,RIGHT
2025-08-19 22:09:44,26499,525,ENTER_STATE,CLIMB_RIGHT,1408,688,GRAB_RIGHT->CLIMB_RIGHT
2025-08-19 22:09:49,31903,640,ENTER_STATE,CEILING_ATTACH_RIGHT,1408,0,CLIMB_RIGHT->CEILING_ATTACH_RIGHT
2025-08-19 22:09:52,34718,700,ENTER_STATE,CEILING,1408,0,CEILING_ATTACH_RIGHT->CEILING
2025-08-19 22:09:54,36413,736,AI_TOP,CEILING,1192,0,FLIP_DIR L
2025-08-19 22:09:56,38753,786,AI_TOP,CEILING,892,0,PAUSE 68 ticks
2025-08-19 22:10:06,48951,1003,CEILING_EDGE_SWING,SWING_LEFT,0,0,LEFT
2025-08-19 22:10:09,51764,1063,ENTER_STATE,CLIMB_LEFT,0,0,SWING_LEFT->CLIMB_LEFT
2025-08-19 22:10:14,57177,1178,ENTER_STATE,DISMOUNT_LEFT,0,688,CLIMB_LEFT->DISMOUNT_LEFT
2025-08-19 22:10:16,58576,1208,ENTER_STATE,IDLE,0,688,DISMOUNT_LEFT->IDLE
2025-08-19 22:10:27,70269,1457,CMD,WALK_TO_LEFT,0,688,startClimbLeft
2025-08-19 22:10:27,70270,1457,AI_DECISION,WALK_TO_LEFT,0,688,CLIMB_LEFT
2025-08-19 22:10:27,70316,1458,WALK_EDGE_GRAB,GRAB_LEFT,0,688,LEFT
2025-08-19 22:10:28,70411,1460,ENTER_STATE,CLIMB_LEFT,0,688,GRAB_LEFT->CLIMB_LEFT
2025-08-19 22:10:33,75810,1575,ENTER_STATE,CEILING_ATTACH_LEFT,0,0,CLIMB_LEFT->CEILING_ATTACH_LEFT
2025-08-19 22:10:36,78613,1635,ENTER_STATE,CEILING,0,0,CEILING_ATTACH_LEFT->CEILING
2025-08-19 22:10:37,80159,1668,AI_TOP,CEILING,198,0,PAUSE 63 ticks
2025-08-19 22:10:42,84611,1763,AI_TOP,CEILING,390,0,PAUSE 87 ticks
2025-08-19 22:10:46,89165,1860,AI_TOP,CEILING,450,0,FLIP_DIR R
2025-08-19 22:10:49,91992,1920,HANG_DROP,FALL,810,0,CEILING
2025-08-19 22:10:51,93683,1956,ENTER_STATE,LAND,810,703,FALL->LAND
2025-08-19 22:10:52,94433,1972,ENTER_STATE,IDLE,810,703,LAND->IDLE
2025-08-19 22:10:57,100204,2095,ENTER_STATE,IDLE,810,688,setIdle
