time,uptime_ms,tick,action,state,x,y,detail
2025-08-19 22:04:33,105,0,INIT,FALL,48,48,spawn
2025-08-19 22:04:34,786,0,REC_ON,FALL,48,48,
2025-08-19 22:04:34,786,0,SPEED,FALL,48,48,3
2025-08-19 22:04:36,2739,33,ENTER_STATE,LAND,48,701,FALL->LAND
2025-08-19 22:04:36,3483,49,ENTER_STATE,IDLE,48,701,LAND->IDLE
2025-08-19 22:04:38,5595,94,CMD,WALK_TO_RIGHT,48,688,startClimbRight
2025-08-19 22:04:38,5596,94,AI_DECISION,WALK_TO_RIGHT,48,688,CLIMB_RIGHT
2025-08-19 22:04:49,16627,324,WALK_EDGE_GRAB,GRAB_RIGHT,1408,688,RIGHT
2025-08-19 22:04:50,16669,325,ENTER_STATE,CLIMB_RIGHT,1408,688,GRAB_RIGHT->CLIMB_RIGHT
2025-08-19 22:04:52,19380,383,AI_WALL,CLIMB_RIGHT,1408,340,PAUSE 62 ticks
2025-08-19 22:04:58,24946,502,ENTER_STATE,CEILING_ATTACH_RIGHT,1408,0,CLIMB_RIGHT->CEILING_ATTACH_RIGHT
2025-08-19 22:05:01,27736,562,ENTER_STATE,CEILING,1408,0,CEILING_ATTACH_RIGHT->CEILING
2025-08-19 22:05:01,27737,562,AI_TOP,CEILING,1408,0,FLIP_DIR L
2025-08-19 22:05:12,38716,797,CEILING_EDGE_SWING,SWING_LEFT,0,0,LEFT
2025-08-19 22:05:14,41517,857,ENTER_STATE,CLIMB_LEFT,0,0,SWING_LEFT->CLIMB_LEFT
2025-08-19 22:05:16,42784,884,AI_WALL,CLIMB_LEFT,0,162,FLIP_DIR UP
2025-08-19 22:05:17,44051,911,ENTER_STATE,CEILING_ATTACH_LEFT,0,0,CLIMB_LEFT->CEILING_ATTACH_LEFT
2025-08-19 22:05:20,46841,971,ENTER_STATE,CEILING,0,0,CEILING_ATTACH_LEFT->CEILING
2025-08-19 22:05:20,47173,978,AI_TOP,CEILING,42,0,FLIP_DIR R
2025-08-19 22:05:28,55111,1148,AI_TOP,CEILING,1062,0,PAUSE 87 ticks
2025-08-19 22:05:33,59945,1252,AI_TOP,CEILING,1164,0,PAUSE 55 ticks
2025-08-19 22:05:37,64433,1348,CEILING_EDGE_SWING,SWING_RIGHT,1408,0,RIGHT
2025-08-19 22:05:40,67228,1408,ENTER_STATE,CLIMB_RIGHT,1408,0,SWING_RIGHT->CLIMB_RIGHT
2025-08-19 22:05:42,69236,1451,AI_WALL,CLIMB_RIGHT,1408,258,FLIP_DIR DOWN
2025-08-19 22:05:43,70546,1479,AI_WALL,CLIMB_RIGHT,1408,426,PAUSE 112 ticks
2025-08-19 22:05:51,77826,1635,ENTER_STATE,DISMOUNT_RIGHT,1408,688,CLIMB_RIGHT->DISMOUNT_RIGHT
2025-08-19 22:05:52,79223,1665,ENTER_STATE,IDLE,1408,688,DISMOUNT_RIGHT->IDLE
2025-08-19 22:06:02,89308,1881,ENTER_STATE,WALK,1408,688,setWalk
2025-08-19 22:06:02,89309,1881,FACE,WALK,1408,688,RIGHT
2025-08-19 22:06:02,89310,1881,AI_DECISION,WALK,1408,688,WALK dir=R
2025-08-19 22:06:02,89354,1882,WALK_EDGE_GRAB,GRAB_RIGHT,1408,688,RIGHT
2025-08-19 22:06:02,89492,1885,ENTER_STATE,CLIMB_RIGHT,1408,688,GRAB_RIGHT->CLIMB_RIGHT
2025-08-19 22:06:08,94879,2000,ENTER_STATE,CEILING_ATTACH_RIGHT,1408,0,CLIMB_RIGHT->CEILING_ATTACH_RIGHT
2025-08-19 22:06:11,97684,2060,ENTER_STATE,CEILING,1408,0,CEILING_ATTACH_RIGHT->CEILING
2025-08-19 22:06:13,100401,2118,AI_TOP,CEILING,1060,0,PAUSE 67 ticks
2025-08-19 22:06:24,111010,2345,AI_TOP,CEILING,100,0,FLIP_DIR L
2025-08-19 22:06:25,111799,2362,CEILING_EDGE_SWING,SWING_LEFT,0,0,LEFT
2025-08-19 22:06:27,114592,2422,ENTER_STATE,CLIMB_LEFT,0,0,SWING_LEFT->CLIMB_LEFT
2025-08-19 22:06:28,114973,2430,AI_WALL,CLIMB_LEFT,0,48,FLIP_DIR DOWN
2025-08-19 22:06:33,119982,2537,ENTER_STATE,DISMOUNT_LEFT,0,688,CLIMB_LEFT->DISMOUNT_LEFT
2025-08-19 22:06:34,121377,2567,ENTER_STATE,IDLE,0,688,DISMOUNT_LEFT->IDLE
2025-08-19 22:06:42,128897,2728,CMD,WALK_TO_RIGHT,0,688,startClimbRight
2025-08-19 22:06:42,128898,2728,AI_DECISION,WALK_TO_RIGHT,0,688,CLIMB_RIGHT
2025-08-19 22:06:53,140025,2966,WALK_EDGE_GRAB,GRAB_RIGHT,1408,688,RIGHT
2025-08-19 22:06:53,140209,2970,ENTER_STATE,CLIMB_RIGHT,1408,688,GRAB_RIGHT->CLIMB_RIGHT
2025-08-19 22:06:55,142445,3018,AI_WALL,CLIMB_RIGHT,1408,400,FLIP_DIR DOWN
2025-08-19 22:06:58,144688,3066,ENTER_STATE,DISMOUNT_RIGHT,1408,688,CLIMB_RIGHT->DISMOUNT_RIGHT
2025-08-19 22:06:59,146080,3096,ENTER_STATE,IDLE,1408,688,DISMOUNT_RIGHT->IDLE
2025-08-19 22:07:04,150979,3201,ENTER_STATE,WALK,1408,688,setWalk
2025-08-19 22:07:04,150979,3201,FACE,WALK,1408,688,RIGHT
2025-08-19 22:07:04,150979,3201,AI_DECISION,WALK,1408,688,WALK dir=R
2025-08-19 22:07:04,151026,3202,WALK_EDGE_GRAB,GRAB_RIGHT,1408,688,RIGHT
