time,uptime_ms,tick,action,state,x,y,detail
2025-08-19 19:24:17,132,0,INIT,FALL,48,48,spawn
2025-08-19 19:24:18,889,0,REC_ON,FALL,48,48,
2025-08-19 19:24:18,889,0,SPEED,FALL,48,48,3
2025-08-19 19:24:20,3088,33,ENTER_STATE,LAND,48,701,FALL->LAND
2025-08-19 19:24:20,3838,49,ENTER_STATE,IDLE,48,701,LAND->IDLE
2025-08-19 19:24:23,5943,94,ENTER_STATE,IDLE,48,688,setIdle
2025-08-19 19:24:23,5944,94,AI_DECISION,IDLE,48,688,IDLE
2025-08-19 19:24:32,15498,298,ENTER_STATE,WALK,48,688,setWalk
2025-08-19 19:24:32,15499,298,FACE,WALK,48,688,RIGHT
2025-08-19 19:24:32,15500,298,AI_DECISION,WALK,48,688,WALK dir=R
2025-08-19 19:24:43,26290,528,WALK_EDGE_GRAB,GRAB_RIGHT,1408,688,RIGHT
2025-08-19 19:24:43,26379,530,ENTER_STATE,CLIMB_RIGHT,1408,688,GRAB_RIGHT->CLIMB_RIGHT
2025-08-19 19:24:46,29290,592,AI_WALL,CLIMB_RIGHT,1408,316,FLIP_DIR UP
2025-08-19 19:24:48,31789,645,ENTER_STATE,CEILING_ATTACH_RIGHT,1408,0,CLIMB_RIGHT->CEILING_ATTACH_RIGHT
2025-08-19 19:24:51,34570,705,ENTER_STATE,CEILING,1408,0,CEILING_ATTACH_RIGHT->CEILING
2025-08-19 19:24:54,37427,766,AI_TOP,CEILING,1042,0,FLIP_DIR L
2025-08-19 19:25:02,45109,930,HANG_DROP,FALL,58,0,CEILING
2025-08-19 19:25:03,46836,966,ENTER_STATE,LAND,58,703,FALL->LAND
2025-08-19 19:25:04,47583,982,ENTER_STATE,IDLE,58,703,LAND->IDLE
2025-08-19 19:25:10,53666,1112,ENTER_STATE,WALK,58,688,setWalk
2025-08-19 19:25:10,53666,1112,FACE,WALK,58,688,RIGHT
2025-08-19 19:25:10,53667,1112,AI_DECISION,WALK,58,688,WALK dir=R
2025-08-19 19:25:21,64363,1340,WALK_EDGE_GRAB,GRAB_RIGHT,1408,688,RIGHT
2025-08-19 19:25:21,64593,1345,ENTER_STATE,CLIMB_RIGHT,1408,688,GRAB_RIGHT->CLIMB_RIGHT
2025-08-19 19:25:27,69987,1460,ENTER_STATE,CEILING_ATTACH_RIGHT,1408,0,CLIMB_RIGHT->CEILING_ATTACH_RIGHT
2025-08-19 19:25:29,72785,1520,ENTER_STATE,CEILING,1408,0,CEILING_ATTACH_RIGHT->CEILING
2025-08-19 19:25:29,72786,1520,AI_TOP,CEILING,1408,0,FLIP_DIR R
2025-08-19 19:25:29,72834,1521,CEILING_EDGE_SWING,SWING_RIGHT,1408,0,RIGHT
2025-08-19 19:25:32,75650,1581,ENTER_STATE,CLIMB_RIGHT,1408,0,SWING_RIGHT->CLIMB_RIGHT
2025-08-19 19:25:32,75798,1584,AI_WALL,CLIMB_RIGHT,1408,18,PAUSE 110 ticks
2025-08-19 19:25:43,86222,1806,ENTER_STATE,DISMOUNT_RIGHT,1408,688,CLIMB_RIGHT->DISMOUNT_RIGHT
2025-08-19 19:25:44,87619,1836,ENTER_STATE,IDLE,1408,688,DISMOUNT_RIGHT->IDLE
2025-08-19 19:25:52,95123,1996,ENTER_STATE,WALK,1408,688,setWalk
2025-08-19 19:25:52,95124,1996,FACE,WALK,1408,688,LEFT
2025-08-19 19:25:52,95124,1996,AI_DECISION,WALK,1408,688,WALK dir=L
2025-08-19 19:26:03,106268,2234,WALK_EDGE_GRAB,GRAB_LEFT,0,688,LEFT
2025-08-19 19:26:03,106311,2235,ENTER_STATE,CLIMB_LEFT,0,688,GRAB_LEFT->CLIMB_LEFT
2025-08-19 19:26:07,110113,2316,AI_WALL,CLIMB_LEFT,0,202,FLIP_DIR UP
2025-08-19 19:26:07,110856,2332,AI_WALL,CLIMB_LEFT,0,106,PAUSE 88 ticks
2025-08-19 19:26:12,115849,2438,ENTER_STATE,CEILING_ATTACH_LEFT,0,0,CLIMB_LEFT->CEILING_ATTACH_LEFT
2025-08-19 19:26:15,118647,2498,ENTER_STATE,CEILING,0,0,CEILING_ATTACH_LEFT->CEILING
2025-08-19 19:26:15,118648,2498,AI_TOP,CEILING,0,0,FLIP_DIR L
2025-08-19 19:26:15,118693,2499,CEILING_EDGE_SWING,SWING_LEFT,0,0,LEFT
2025-08-19 19:26:18,121492,2559,ENTER_STATE,CLIMB_LEFT,0,0,SWING_LEFT->CLIMB_LEFT
2025-08-19 19:26:24,126888,2674,ENTER_STATE,DISMOUNT_LEFT,0,688,CLIMB_LEFT->DISMOUNT_LEFT
2025-08-19 19:26:25,128283,2704,ENTER_STATE,IDLE,0,688,DISMOUNT_LEFT->IDLE
2025-08-19 19:26:35,138189,2915,ENTER_STATE,WALK,0,688,setWalk
2025-08-19 19:26:35,138189,2915,FACE,WALK,0,688,LEFT
2025-08-19 19:26:35,138190,2915,AI_DECISION,WALK,0,688,WALK dir=L
2025-08-19 19:26:35,138235,2916,WALK_EDGE_GRAB,GRAB_LEFT,0,688,LEFT
2025-08-19 19:26:35,138423,2920,ENTER_STATE,CLIMB_LEFT,0,688,GRAB_LEFT->CLIMB_LEFT
2025-08-19 19:26:40,143830,3035,ENTER_STATE,CEILING_ATTACH_LEFT,0,0,CLIMB_LEFT->CEILING_ATTACH_LEFT
2025-08-19 19:26:43,146634,3095,ENTER_STATE,CEILING,0,0,CEILING_ATTACH_LEFT->CEILING
2025-08-19 19:26:48,151652,3202,AI_TOP,CEILING,642,0,FLIP_DIR R
2025-08-19 19:26:53,156478,3305,AI_TOP,CEILING,1260,0,PAUSE 64 ticks
2025-08-19 19:26:57,160467,3390,HANG_DROP,FALL,1386,0,CEILING
2025-08-19 19:26:59,162165,3426,ENTER_STATE,LAND,1386,703,FALL->LAND
2025-08-19 19:27:00,162909,3442,ENTER_STATE,IDLE,1386,703,LAND->IDLE
2025-08-19 19:27:06,169194,3576,ENTER_STATE,WALK,1386,688,setWalk
2025-08-19 19:27:06,169195,3576,FACE,WALK,1386,688,LEFT
2025-08-19 19:27:06,169195,3576,AI_DECISION,WALK,1386,688,WALK dir=L
2025-08-19 19:27:17,180200,3810,WALK_EDGE_GRAB,GRAB_LEFT,0,688,LEFT
2025-08-19 19:27:17,180429,3815,ENTER_STATE,CLIMB_LEFT,0,688,GRAB_LEFT->CLIMB_LEFT
2025-08-19 19:27:18,181133,3830,AI_WALL,CLIMB_LEFT,0,598,FLIP_DIR UP
2025-08-19 19:27:18,181599,3840,AI_WALL,CLIMB_LEFT,0,538,PAUSE 111 ticks
2025-08-19 19:27:24,187369,3963,AI_WALL,CLIMB_LEFT,0,466,PAUSE 43 ticks
2025-08-19 19:27:28,191370,4048,AI_WALL,CLIMB_LEFT,0,214,PAUSE 47 ticks
2025-08-19 19:27:32,195268,4131,ENTER_STATE,CEILING_ATTACH_LEFT,0,0,CLIMB_LEFT->CEILING_ATTACH_LEFT
2025-08-19 19:27:35,198079,4191,ENTER_STATE,CEILING,0,0,CEILING_ATTACH_LEFT->CEILING
2025-08-19 19:27:35,198079,4191,AI_TOP,CEILING,0,0,FLIP_DIR L
2025-08-19 19:27:35,198125,4192,CEILING_EDGE_SWING,SWING_LEFT,0,0,LEFT
2025-08-19 19:27:38,200949,4252,ENTER_STATE,CLIMB_LEFT,0,0,SWING_LEFT->CLIMB_LEFT
2025-08-19 19:27:42,204896,4336,AI_WALL,CLIMB_LEFT,0,504,PAUSE 87 ticks
2025-08-19 19:27:47,210450,4454,ENTER_STATE,DISMOUNT_LEFT,0,688,CLIMB_LEFT->DISMOUNT_LEFT
2025-08-19 19:27:48,211855,4484,ENTER_STATE,IDLE,0,688,DISMOUNT_LEFT->IDLE
2025-08-19 19:27:55,218526,4626,ENTER_STATE,WALK,0,688,setWalk
2025-08-19 19:27:55,218527,4626,FACE,WALK,0,688,LEFT
2025-08-19 19:27:55,218527,4626,AI_DECISION,WALK,0,688,WALK dir=L
2025-08-19 19:27:55,218575,4627,WALK_EDGE_GRAB,GRAB_LEFT,0,688,LEFT
2025-08-19 19:27:55,218715,4630,ENTER_STATE,CLIMB_LEFT,0,688,GRAB_LEFT->CLIMB_LEFT
2025-08-19 19:28:01,224113,4745,ENTER_STATE,CEILING_ATTACH_LEFT,0,0,CLIMB_LEFT->CEILING_ATTACH_LEFT
2025-08-19 19:28:04,226930,4805,ENTER_STATE,CEILING,0,0,CEILING_ATTACH_LEFT->CEILING
2025-08-19 19:28:13,236640,5012,AI_TOP,CEILING,1242,0,FLIP_DIR L
2025-08-19 19:28:17,240762,5100,HANG_DROP,FALL,714,0,CEILING
2025-08-19 19:28:19,242446,5136,ENTER_STATE,LAND,714,703,FALL->LAND
2025-08-19 19:28:20,243191,5152,ENTER_STATE,IDLE,714,703,LAND->IDLE
2025-08-19 19:28:29,252383,5348,ENTER_STATE,WALK,714,688,setWalk
2025-08-19 19:28:29,252383,5348,FACE,WALK,714,688,LEFT
2025-08-19 19:28:29,252384,5348,AI_DECISION,WALK,714,688,WALK dir=L
2025-08-19 19:28:35,258091,5470,WALK_EDGE_GRAB,GRAB_LEFT,0,688,LEFT
2025-08-19 19:28:35,258319,5475,ENTER_STATE,CLIMB_LEFT,0,688,GRAB_LEFT->CLIMB_LEFT
2025-08-19 19:28:38,261337,5539,AI_WALL,CLIMB_LEFT,0,304,PAUSE 96 ticks
2025-08-19 19:28:44,267107,5662,AI_WALL,CLIMB_LEFT,0,142,FLIP_DIR DOWN
2025-08-19 19:28:46,269420,5711,AI_WALL,CLIMB_LEFT,0,436,FLIP_DIR UP
2025-08-19 19:28:49,272851,5784,ENTER_STATE,CEILING_ATTACH_LEFT,0,0,CLIMB_LEFT->CEILING_ATTACH_LEFT
2025-08-19 19:28:52,275639,5844,ENTER_STATE,CEILING,0,0,CEILING_ATTACH_LEFT->CEILING
2025-08-19 19:28:58,281468,5968,AI_TOP,CEILING,744,0,PAUSE 113 ticks
2025-08-19 19:29:02,285788,6060,HANG_DROP,FALL,744,0,CEILING
2025-08-19 19:29:04,287480,6096,ENTER_STATE,LAND,744,703,FALL->LAND
2025-08-19 19:29:05,288222,6112,ENTER_STATE,IDLE,744,703,LAND->IDLE
2025-08-19 19:29:18,300901,6382,ENTER_STATE,WALK,744,688,setWalk
2025-08-19 19:29:18,300901,6382,FACE,WALK,744,688,RIGHT
2025-08-19 19:29:18,300902,6382,AI_DECISION,WALK,744,688,WALK dir=R
