time,uptime_ms,tick,action,state,x,y,detail
2025-08-18 12:48:48,88,0,INIT,FALL,48,48,spawn
2025-08-18 12:48:50,2081,32,ENTER_STATE,LAND,48,688,FALL->LAND
2025-08-18 12:48:51,2825,48,ENTER_STATE,IDLE,48,688,LAND->IDLE
2025-08-18 12:48:53,4926,93,CMD,WALK_TO_RIGHT,48,688,startClimbRight
2025-08-18 12:48:53,4927,93,AI_DECISION,WALK_TO_RIGHT,48,688,CLIMB_RIGHT
2025-08-18 12:49:09,20900,435,WALK_EDGE_GRAB,GRAB_RIGHT,1408,688,RIGHT
2025-08-18 12:49:09,21128,440,ENTER_STATE,CLIMB_RIGHT,1408,688,GRAB_RIGHT->CLIMB_RIGHT
2025-08-18 12:49:10,21837,455,AI_WALL,CLIMB_RIGHT,1408,628,PAUSE 53 ticks
2025-08-18 12:49:11,22336,465,REC_OFF,CLIMB_RIGHT,1408,628,
